unique_plan_id,provider_name,service_plan_name,tier_plan_name,connection_type,monthly_price,availability,intro_rate,intro_rate_price,intro_rate_time,contract_req,contract_time,contract_terms_url,early_termination_fee,single_purchase_fee_descr,single_purchase_fees,monthly_provider_fee_descr,monthly_provider_fee,tax,bundle_discounts_url,typical_download_speed,typical_upload_speed,typical_latency,monthly_data_allow,over_usage_data_price,additional_data_increment,data_allowance_policy_url,network_management_policy_url,privacy_policy_url,customer_support_phone,customer_support_web
"F0018579375EL25DATA11095AA","WOW!","Internet 1 Gig Symmetrical Price Lock","Fixed","",="95.00","","No","","","No",="0","","N/A","Downgrade Fee (No truck)",="2.50","Paper Statement Fee",="4.00","Varies by Location","https://wowway.com/internet-deals-and-packages","941","936","5",="Unlimited","N/A","","","https://www.wowway.com/experience/network-management","https://www.wowway.com/experience/terms-and-conditions/privacy-policy","(866) 496-9669","https://wowway.com/contact-us"
"F0018579375PL24DATA02045AA","WOW!","Internet 200 Price Lock","Fixed","",="45.00","","No","","","No",="0","","N/A","Professional Installation;Self-Installation Activation",="99.00;10.00","Paper Statement Fee",="4.00","Varies by Location","https://wowway.com/internet-deals-and-packages","236","8","19",="Unlimited","N/A","","","https://www.wowway.com/experience/network-management","https://www.wowway.com/experience/terms-and-conditions/privacy-policy","(866) 496-9669","https://wowway.com/contact-us"
"F0018579375EL24DATA11095AA","WOW!","Internet 1 Gig Symmetrical Price Lock","Fixed","",="95.00","","No","","","No",="0","","N/A","Downgrade Fee (No truck)",="2.50","Paper Statement Fee",="4.00","Varies by Location","https://wowway.com/internet-deals-and-packages","943","948","12",="Unlimited","N/A","","","https://www.wowway.com/experience/network-management","https://www.wowway.com/experience/terms-and-conditions/privacy-policy","(866) 496-9669","https://wowway.com/contact-us"
"F00185793750B26DATA05030AA","WOW!","Internet 300","Fixed","",="30.00","","No","","","No",="0","","N/A","Professional Installation;Self-Installation Activation",="99.00;10.00","Paper Statement Fee",="4.00","Varies by Location","https://wowway.com/internet-deals-and-packages","356","24","11",="Unlimited","N/A","","","https://www.wowway.com/experience/network-management","https://www.wowway.com/experience/terms-and-conditions/privacy-policy","(866) 496-9669","https://wowway.com/contact-us"
"F0018579375MP26DATA10070AA","WOW!","Internet 1 Gig","Fixed","",="70.00","","No","","","No",="0","","N/A","Professional Installation;Self-Installation Activation",="99.00;10.00","Paper Statement Fee",="4.00","Varies by Location","https://wowway.com/internet-deals-and-packages","1,006","57","8",="Unlimited","N/A","","","https://www.wowway.com/experience/network-management","https://www.wowway.com/experience/terms-and-conditions/privacy-policy","(866) 496-9669","https://wowway.com/contact-us"
"F0018579375PL24DATA10075AA","WOW!","Internet 1 Gig Price Lock","Fixed","",="75.00","","No","","","No",="0","","N/A","Professional Installation;Self-Installation Activation",="99.00;10.00","Paper Statement Fee",="4.00","Varies by Location","https://wowway.com/internet-deals-and-packages","1,093","43","22",="Unlimited","N/A","","","https://www.wowway.com/experience/network-management","https://www.wowway.com/experience/terms-and-conditions/privacy-policy","(866) 496-9669","https://wowway.com/contact-us"
"F0018579375EC26DATA12110AA","WOW!","Internet 1.2 Gig","Fixed","",="110.00","","No","","","No",="0","","N/A","Downgrade Fee (No truck)",="2.50","Paper Statement Fee",="4.00","Varies by Location","https://wowway.com/internet-deals-and-packages","1,209","58","8",="Unlimited","N/A","","","https://www.wowway.com/experience/network-management","https://www.wowway.com/experience/terms-and-conditions/privacy-policy","(866) 496-9669","https://wowway.com/contact-us"
"F00185793750PL526FB5G195AA","WOW! fiber","Fiber 5 Gig Price Lock","Fixed","",="195.00","","No","","","No",="0","","N/A","Professional Installation",="100.00","Paper Statement Fee",="4.00","Varies by Location","https://wowway.com/fiber-internet-deals-and-packages","5,220","4,650","5",="Unlimited","N/A","","","https://www.wowway.com/experience/network-management","https://www.wowway.com/experience/terms-and-conditions/privacy-policy","(833) 909-0821","https://wowway.com/contact-us"
"F0018579375EC24DATA12110AA","WOW!","Internet 1.2 Gig","Fixed","",="110.00","","No","","","No",="0","","N/A","Downgrade Fee (No truck)",="2.50","Paper Statement Fee",="4.00","Varies by Location","https://wowway.com/internet-deals-and-packages","1,200","48","22",="Unlimited","N/A","","","https://www.wowway.com/experience/network-management","https://www.wowway.com/experience/terms-and-conditions/privacy-policy","(866) 496-9669","https://wowway.com/contact-us"
"F00185793750MP25FB500060AA","WOW! fiber","Fiber 500","Fixed","",="60.00","","No","","","No",="0","","N/A","Professional Installation",="100.00","Paper Statement Fee",="4.00","Varies by Location","https://wowway.com/fiber-internet-deals-and-packages","529","493","5",="Unlimited","N/A","","","https://www.wowway.com/experience/network-management","https://www.wowway.com/experience/terms-and-conditions/privacy-policy","(833) 909-0821","https://wowway.com/contact-us"
