"FCCPlanId","providerName","planName","serviceType","priceAmount","planDisclaimer","priceDescription","introductoryRateValue","priceAfterIntroductory","introductoryPeriodLength","contractStatus","contractPeriod","contractLinkURL","lineItemDisclaimer","terminationFee","terminationDescription","otherTerminationFees","otherTerminationFeesAmount","terminationLinkText","onTimeyFeeType","oneTimeFee","monthlyFeeType","monthlyFee","latePaymentFees","latePaymentDescription","tax","discountsBundlesLinks","speedsDownloadSpeed","speedsUploadSpeed","speedsLatency","networkDisclaimerLinkLabel","networkDisclaimerLinkText","dataMonthly","dataAadditionalUsageCharge","dataSpeedDescription","dataDetailsLinkText","networkPolicyLinkText","privacyPolicylinkText","contactUsNumbers","customerSupportlinkText"
"M0005937974820072636043265","AT&T","AT&T Business Connect (Backup) 20GB 5G","Mobile","150.00*","","","is not","","","requires a business agreement but does not require a line-level service commitment.","","att.com/mbusagreement","Fees are listed on a per-line basis","","Up to $750 depending on device & contract.","","","att.com/equipmentETF","Activation Fee","0.00","","","","See the terms of your contract.","Varies by location","att.com/smbmobdiscounts","12-78 Mbps (4G LTE); 53-304 Mbps (5G); 167-474 Mbps (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-52 ms (4G LTE); 26-45 ms (5G); 23-39 ms (5G+)","Performance varies. See coverage at","att.com/wirelesscoverage","20GB","$0.00001431/KB","","att.com/businessconnect","att.com/bbnetwork","att.com/privacy","800-331-0500","business.att.com/support"
"F0005937974415259280717016","AT&T","Internet Basic","Fixed","110*","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Modem/Router Fee; Non-Return Managed Internet Backup fee; Non-Return Wi-Fi Extenders fee","150.00; 150.00; 65.00 per extender","","Installation Fee","150.00","","","9.99","","Varies by location","att.com/smbbbdiscounts","0.8 Mbps","0.4 Mbps","30","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","800-321-2000","business.att.com/support"
"M0005937974451892207253380","AT&T","AT&T Mobile Select(R) - Pooled 3GB for Smartphone LTE","Mobile","70.00*","","","is not","","","requires a business agreement but does not require a line-level service commitment.","","att.com/mbusagreement","Fees are listed on a per-line basis","","Up to $750 depending on device & contract.","","","att.com/equipmentETF","Activation Fee","0.00","","","","See the terms of your contract.","Varies by location","att.com/smbmobdiscounts","12-78 Mbps (4G LTE)","1-12 Mbps (4G LTE)","29-52 ms (4G LTE)","Performance varies. See coverage at","att.com/wirelesscoverage","3GB","$0.000009536/KB","","att.com/mobileselect","att.com/bbnetwork","att.com/privacy","800-331-0500","business.att.com/support"
"M0005937974519290345003826","AT&T","$30 Monthly - Owner","Mobile","30.00*","","","is not","","","does not require a contract.","","","Fees are listed on a per-line basis","0.00","","","","","","","","","","","Varies by location","att.com/prepaiddiscounts","12-78 Mbps (4G LTE); 53-304 Mbps (5G); 167-474 (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-52 ms (4G LTE); 26-45 ms (5G); 23-39 ms (5G+)","Performance varies. See coverage at","att.com/prepaidmap","5GB","$10/1GB  or $20/3GB","","att.com/prepaiddata","att.com/bbnetwork","att.com/privacy","(877)426-0525","att.com/prepaidsupport"
"M0005937974957828008140025","AT&T","AT&T Unlimited Premium (R) PL - 6+ Lines","Mobile","50.99*","","","is not","","","does not require a contract.","","","Fees are listed on a per-line basis","0.00","","","","","Activation Fee","35.00","","","8.00","","Varies by location","att.com/mobilitydiscounts","12-78 Mbps (4G LTE); 53-304 Mbps (5G); 167-474 Mbps (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-52 ms (4G LTE); 26-45 ms (5G); 23-39 ms (5G+)","Performance varies. See coverage at","att.com/wirelesscoverage","Unlimited","","","","att.com/bbnetwork","att.com/privacy","(800) 331-0500","att.com/support"
"M0005937974847781025019467","AT&T","AT&T Mobile Select(R) - Pooled 1GB for Smartphone LTE","Mobile","60.00*","","","is not","","","requires a business agreement but does not require a line-level service commitment.","","att.com/mbusagreement","Fees are listed on a per-line basis","","Up to $750 depending on device & contract.","","","att.com/equipmentETF","Activation Fee","0.00","","","","See the terms of your contract.","Varies by location","att.com/smbmobdiscounts","12-78 Mbps (4G LTE)","1-12 Mbps (4G LTE)","29-52 ms (4G LTE)","Performance varies. See coverage at","att.com/wirelesscoverage","1GB","$0.000009536/KB","","att.com/mobileselect","att.com/bbnetwork","att.com/privacy","800-331-0500","business.att.com/support"
"M0005937974268389316536705","AT&T","AT&T Mobile Select(R) - Pooled 1GB for Data Device LTE","Mobile","20.00*","","","is not","","","requires a business agreement but does not require a line-level service commitment.","","att.com/mbusagreement","Fees are listed on a per-line basis","","Up to $750 depending on device & contract.","","","att.com/equipmentETF","Activation Fee","0.00","","","","See the terms of your contract.","Varies by location","att.com/smbmobdiscounts","12-78 Mbps (4G LTE)","1-12 Mbps (4G LTE)","29-52 ms (4G LTE)","Performance varies. See coverage at","att.com/wirelesscoverage","1GB","$0.000009536/KB","","att.com/mobileselect","att.com/bbnetwork","att.com/privacy","800-331-0500","business.att.com/support"
"M0005937974554253877820573","AT&T","AT&T Business Connect (Backup) 250MB LTE","Mobile","20.00*","","","is not","","","requires a business agreement but does not require a line-level service commitment.","","att.com/mbusagreement","Fees are listed on a per-line basis","","Up to $750 depending on device & contract.","","","att.com/equipmentETF","Activation Fee","0.00","","","","See the terms of your contract.","Varies by location","att.com/smbmobdiscounts","12-78 Mbps (4G LTE)","1-12 Mbps (4G LTE)","29-52 ms (4G LTE)","Performance varies. See coverage at","att.com/wirelesscoverage","250MB","$0.00001431/KB","","att.com/businessconnect","att.com/bbnetwork","att.com/privacy","800-331-0500","business.att.com/support"
"M0005937974836725723380749","AT&T","AT&T Value Plus VL - 2 Lines","Mobile","60.99*","","","is not","","","does not require a contract.","","","Fees are listed on a per-line basis","0.00","","","","","Activation Fee","35.00","","","8.00","","Varies by location","att.com/mobilitydiscounts","12-78 Mbps (4G LTE); 53-304 Mbps (5G); 167-474 Mbps (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-52 ms (4G LTE); 26-45 ms (5G); 23-39 ms (5G+)","Performance varies. See coverage at","att.com/wirelesscoverage","Unlimited","","AT&T may temporarily slow data speeds if the network is busy.","","att.com/bbnetwork","att.com/privacy","(800) 331-0500","att.com/support"
"M0005937974635103422347455","AT&T","AT&T Unlimited Premium (R) PL - 1 Line","Mobile","95.99*","","","is not","","","does not require a contract.","","","Fees are listed on a per-line basis","0.00","","","","","Activation Fee","35.00","","","8.00","","Varies by location","att.com/mobilitydiscounts","12-78 Mbps (4G LTE); 53-304 Mbps (5G); 167-474 Mbps (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-52 ms (4G LTE); 26-45 ms (5G); 23-39 ms (5G+)","Performance varies. See coverage at","att.com/wirelesscoverage","Unlimited","","","","att.com/bbnetwork","att.com/privacy","(800) 331-0500","att.com/support"
"M0005937974636939994713571","AT&T","AT&T Mobile Select(R) - Pooled 10GB for Data Device LTE","Mobile","105.00*","","","is not","","","requires a business agreement but does not require a line-level service commitment.","","att.com/mbusagreement","Fees are listed on a per-line basis","","Up to $750 depending on device & contract.","","","att.com/equipmentETF","Activation Fee","0.00","","","","See the terms of your contract.","Varies by location","att.com/smbmobdiscounts","12-78 Mbps (4G LTE)","1-12 Mbps (4G LTE)","29-52 ms (4G LTE)","Performance varies. See coverage at","att.com/wirelesscoverage","10GB","$0.000009536/KB","","att.com/mobileselect","att.com/bbnetwork","att.com/privacy","800-331-0500","business.att.com/support"
"F0005937974297572150504417","AT&T","Internet Basic 3","Fixed","110*","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Modem/Router Fee; Non-Return Managed Internet Backup fee; Non-Return Wi-Fi Extenders fee","150.00; 150.00; 65.00 per extender","","Installation Fee","150.00","","","9.99","","Varies by location","att.com/smbbbdiscounts","3 Mbps","1 Mbps","30","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","800-321-2000","business.att.com/support"
"M0005937974284875814834420","AT&T","AT&T Mobile Select(R) - Pooled 1GB for Data Device 5G","Mobile","20.00*","","","is not","","","requires a business agreement but does not require a line-level service commitment.","","att.com/mbusagreement","Fees are listed on a per-line basis","","Up to $750 depending on device & contract.","","","att.com/equipmentETF","Activation Fee","0.00","","","","See the terms of your contract.","Varies by location","att.com/smbmobdiscounts","12-78 Mbps (4G LTE); 53-304 Mbps (5G); 167-474 Mbps (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-52 ms (4G LTE); 26-45 ms (5G); 23-39 ms (5G+)","Performance varies. See coverage at","att.com/wirelesscoverage","1GB","$0.000009536/KB","","att.com/mobileselect","att.com/bbnetwork","att.com/privacy","800-331-0500","business.att.com/support"
"M0005937974581641530729250","AT&T","$33/mo. 8GB 3-Month Plan","Mobile","33.00","","($99 up front payment = $33/month)","is not","","","does not require a contract.","","","","0.00","","","","","","","","","","","Varies by location","att.com/prepaiddiscounts","12-78 Mbps (4G LTE); 53-304 Mbps (5G); 167-474 (5G+)","1-12 Mbps (4G LTE); 3-22 Mbps (5G); 6-33 Mbps (5G+)","29-52 ms (4G LTE); 26-45 ms (5G); 23-39 ms (5G+)","Performance varies. See coverage at","att.com/prepaidmap","8GB","$10/1GB  or $20/3GB","","att.com/prepaiddata","att.com/bbnetwork","att.com/privacy","(877)426-0525","att.com/prepaidsupport"
"F0005937974456427931224749","AT&T","Access from AT&T Internet 75 (Copper 75x20Mbps - Unlimited Data)","Fixed","30.00","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Equipment Fee - Gateway","150.00","","Installation Fee","0.00","","","9.99","","Varies by location","att.com/bbdiscounts","87.0 Mbps","20.5 Mbps","26 ms","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","(800) 288-2020","att.com/access"
"F0005937974866123181737306","AT&T","Internet 25 (Copper 25x5Mbps)","Fixed","70.00*","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Equipment Fee - Gateway","150.00","","Installation Fee","99.00","","","9.99","","Varies by location","att.com/bbdiscounts","32.5 Mbps","5.3 Mbps","29 ms","","","1.5 TB","$10.00/50GB","","att.com/bbusage","att.com/bbnetwork","att.com/privacy","(800) 288-2020","att.com/support/internet/"
"F0005937974659622870297335","AT&T","AT&T Internet 1G / 1G (Home Based Business)","Fixed","120*","","","is not","","","does not require a contract.","","","","0.00","","Non-Return Modem/Router Fee; Non-Return Managed Internet Backup fee; Non-Return Wi-Fi Extenders fee","150.00; 150.00; 65.00 per extender","","Installation Fee","150.00","","","9.99","","Varies by location","att.com/smbbbdiscounts","1 Gbps","1 Gbps","8","","","Unlimited","","","","att.com/bbnetwork","att.com/privacy","800-321-2000","business.att.com/support"
"M0005937974277472556105935","AT&T","Prepaid Unlimited Data for 12 Months","Mobile","16.67","","($200 up front annual payment = $16.67/month)""","is not","","","does not require a contract.","","","","0","","","","","","","","","0","","Varies by location","att.com/CCdiscounts","12-78 Mbps (4G LTE)","1-12 Mbps (4G LTE)","29-82 ms (4G LTE)","Performance varies. See coverage at","att.com/wirelesscoverage","Unlimited","","","","att.com/bbnetwork","att.com/privacy","(866) 595-1334","att.com/support"
