provider_name,service_plan_name,connection_type,unique_plan_id,monthly_price,intro_rate,intro_rate_price,intro_rate_time,contract_req,contract_time,contract_terms_url,early_termination_fee,single_purchase_fee_descr,single_purchase_fees,monthly_provider_fee _descr,monthly_provider_fee,tax,bundle_discounts_url,typical_download_speed,typical_upload_speed,typical_latency,monthly_data_allow,over_usage_data_price,additionalDataIncrement,data_allowance_policy_url,network_management_policy_url,privacy_policy_url,customer_support_phone,customer_support_web
Metronet,Business Fiber Standard 100M/100M,Fixed,F0030023295C00000000316394,99.95,No,NULL,NULL,Yes,36,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,108.47 Mbps,105.13 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Metronet   30M/ 10M Asymmetrical Internet Access,Fixed,F0030023295C00000000316533,69.95,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,NULL,NULL,NULL,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 100M/100M,Fixed,F0030023295C00000000316536,119.95,No,NULL,NULL,Yes,12,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,108.47 Mbps,105.13 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 1G/1G,Fixed,F0030023295C00000000316543,249.95,No,NULL,NULL,Yes,36,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,943.85 Mbps,940.75 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Metronet   50M/ 20M Asymmetrical Internet Access,Fixed,F0030023295C00000000316546,89.95,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,NULL,NULL,NULL,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 500M/500M,Fixed,F0030023295C00000000316553,199.95,No,NULL,NULL,Yes,36,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,505.20 Mbps,510.43 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Metronet   20M/  5M Asymmetrical Internet Access,Fixed,F0030023295C00000000316561,59.95,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,NULL,NULL,NULL,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 300M/300M,Fixed,F0030023295C00000000316565,129.95,No,NULL,NULL,Yes,36,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,301.93 Mbps,302.17 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Business Fiber Standard 300M/300M,Fixed,F0030023295C00000000316566,149.95,No,NULL,NULL,Yes,12,https://www.metronetbusiness.com/terms-conditions,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,301.93 Mbps,302.17 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
Metronet,Bulk Standard 1G/1G Internet Access,Fixed,F0030023295C00000000316567,45.00,No,NULL,NULL,No,NULL,NULL,Up to 75% of monthly recurring fees for remainder of the contract term. See https://www.metronetbusiness.com/earlyTerminationFees for full details.,NULL,NULL,(Optional) Billing Fee,4.95,Varies by location,NULL,943.85 Mbps,940.75 Mbps,13 Milliseconds,Unlimited GB,$0,GB,N/A,https://www.metronet.com/network-management,https://www.metronet.com/aup-privacy,(855) 769-0936,NULL
