unique_plan_id,provider_name,service_plan_name,tier_plan_name,connection_type,monthly_price,intro_rate,intro_rate_price,intro_rate_time,contract_req,contract_time,contract_terms_url,early_termination_fee,single_purchase_fee_descr,single_purchase_fees,monthly_provider_fee_descr,monthly_provider_fees,declined_auto_payment,tax,bundle_discounts_url,typical_download_speed,typical_upload_speed,typical_latency,speed_disclaimer                                                                                                                                                                                        ,monthly_data_allow,over_usage_data_price,additional_data_increments,data_allowance_policy_url,network_management_policy_url,privacy_policy_url,customer_support_phone,customer_support_web
F0025646373260429SIFNATAEN,Spectrum,Internet,NULL,Fixed,90,No,NULL,NULL,No,NULL,NULL,0,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;Optional WiFi Service,30.00;10.00,5,0,https://www.spectrum.com/packages,496,11,19,NULL,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SIFNATSEN,Spectrum,Internet,NULL,Fixed,90,No,NULL,NULL,No,NULL,NULL,0,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;Optional WiFi Service,30.00;10.00,5,0,https://www.spectrum.com/packages,503,420,19,NULL,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SIUNATAEN,Spectrum,Internet Ultra,NULL,Fixed,110,No,NULL,NULL,No,NULL,NULL,0,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;Optional WiFi Service,30.00;10.00,5,0,https://www.spectrum.com/packages,682,23,19,NULL,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SIUNATSEN,Spectrum,Internet Ultra,NULL,Fixed,110,No,NULL,NULL,No,NULL,NULL,0,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;Optional WiFi Service,30.00;10.00,5,0,https://www.spectrum.com/packages,686,630,19,NULL,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SIGNATAEN,Spectrum,Internet Gig,NULL,Fixed,110,No,NULL,NULL,No,NULL,NULL,0,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;Optional WiFi Service,30.00;10.00,5,0,https://www.spectrum.com/packages,1045,40,19,NULL,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SIGNATSEN,Spectrum,Internet Gig,NULL,Fixed,110,No,NULL,NULL,No,NULL,NULL,0,Service Activation;Reconnect Fee;Late Fee;Change of Service;Professional Installation;Hourly Labor Charge,20.00;5.00;Up to 8.95;50.00;50.00;50.00,Optional Invincible WiFi;Optional WiFi Service,30.00;10.00,5,0,https://www.spectrum.com/packages,1159,1050,19,NULL,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4N2YAEN,Spectrum,Internet Premier,NULL,Fixed,75,Yes,30,24,No,NULL,NULL,0,Service Activation;Reconnect Fee;Change of Service;Professional Installation;Hourly Labor Charge;Late Fee,20.00;5.00;50.00;50.00;50.00;Up to 8.95,Optional WiFi Service;Optional Invincible WiFi,0.00;20.00,5,0,https://www.spectrum.com/packages,572,23,19,NULL,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4N2YSEN,Spectrum,Internet Premier,NULL,Fixed,75,Yes,30,24,No,NULL,NULL,0,Service Activation;Reconnect Fee;Change of Service;Professional Installation;Hourly Labor Charge;Late Fee,20.00;5.00;50.00;50.00;50.00;Up to 8.95,Optional WiFi Service;Optional Invincible WiFi,0.00;20.00,5,0,https://www.spectrum.com/packages,577,525,19,NULL,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4N3YAEN,Spectrum,Internet Premier,NULL,Fixed,75,Yes,30,36,No,NULL,NULL,0,Service Activation;Reconnect Fee;Change of Service;Professional Installation;Hourly Labor Charge;Late Fee,20.00;5.00;50.00;50.00;50.00;Up to 8.95,Optional WiFi Service;Optional Invincible WiFi,0.00;20.00,5,0,https://www.spectrum.com/packages,572,23,19,NULL,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
F0025646373260429SP4N3YSEN,Spectrum,Internet Premier,NULL,Fixed,75,Yes,30,36,No,NULL,NULL,0,Service Activation;Reconnect Fee;Change of Service;Professional Installation;Hourly Labor Charge;Late Fee,20.00;5.00;50.00;50.00;50.00;Up to 8.95,Optional WiFi Service;Optional Invincible WiFi,0.00;20.00,5,0,https://www.spectrum.com/packages,577,525,19,NULL,NULL,NULL,NULL,NULL,https://www.spectrum.com/policies/network-management-practices,https://www.spectrum.com/policies/privacy-policy,(833) 267-6094,https://www.spectrum.net/contact-us
