unique_plan_id,provider_name,service_plan_name,tier_plan_name,connection_type,monthly_price,intro_rate,intro_rate_price,intro_rate_time,contract_req,contract_time,contract_terms_url,early_termination_fee,single_purchase_fee_descr,single_purchase_fees,monthly_provider_fee_descr,monthly_provider_fee,tax,bundle_discounts_url,typical_download_speed,typical_upload_speed,typical_latency,monthly_data_allow,over_usage_data_price,additional_data_increment,data_allowance_policy_url,network_management_policy_url,privacy_policy_url,customer_support_phone,customer_support_web,load_date_time_est
F0001834696HM34KkRRsBfXmc6,Cox Communications,Go Fast Internet,Go Fast Internet,Fixed,50,No,,,,,,0,Self-Installation; Professional Installation; Deposit for Pano Wifi Gateway; Late Fee,0; 100; 50.00 per device based on credit; 0,Panoramic Wifi,15,Varies,https://www.cox.com/residential/special-offers/bundles.html,117,12,16,1280,0,,https://www.cox.com/aboutus/policies/speeds-and-data-plans.html,https://www.cox.com/aboutus/policies/internet-service-disclosures.html,https://www.cox.com/aboutus/policies/annual-privacy-notice.html,1-800-234-3993,https://www.cox.com/residential/contactus.html,2026-08-01 01:03:15
F0001834696HM3mHsRRvWNXf2K,Cox Communications,Go Fast Internet,Go Fast Internet,Fixed,50,No,,,,,,0,Self-Installation; Professional Installation; Deposit for Pano Wifi Gateway; Late Fee,0; 100; 50.00 per device based on credit; 8.35,Panoramic Wifi,15,Varies,https://www.cox.com/residential/special-offers/bundles.html,118,6,13,1280,0,,https://www.cox.com/aboutus/policies/speeds-and-data-plans.html,https://www.cox.com/aboutus/policies/internet-service-disclosures.html,https://www.cox.com/aboutus/policies/annual-privacy-notice.html,1-800-234-3993,https://www.cox.com/residential/contactus.html,2026-08-01 01:03:15
F0001834696PTF1lwRRbpjojc6,Cox Communications,Cox Fiber Internet 500/100 AP,Cox Fiber Internet 500/100 AP,Fixed,290,No,,,,,,0,Self-Installation; Professional Installation; Standard Activation; Gateway Activation; Equipment Deposit; Late Fee,0; 99; 25; 99; Varies Based on Credit; 30,Panoramic Wifi,13,Varies,https://www.cox.com/business/offers/small-business-bundles.html,594,112,6,,0,,,https://www.cox.com/aboutus/policies/internet-service-disclosures.html,https://www.cox.com/aboutus/policies/business-annual-privacy-notice.html,1-866-272-5777,https://www.cox.com/business/contact-us.html,2026-08-01 01:03:15
F0001834696PggoeaRRgJ9onXe,Cox Communications,Cox Fiber Internet 200/20 AP,Cox Fiber Internet 200/20 AP,Fixed,248,No,,,,,,0,Self-Installation; Professional Installation; Standard Activation; Gateway Activation; Equipment Deposit; Late Fee,0; 99; 25; 99; Varies Based on Credit; 30,Panoramic Wifi,13,Varies,https://www.cox.com/business/offers/small-business-bundles.html,233,20,7,,0,,,https://www.cox.com/aboutus/policies/internet-service-disclosures.html,https://www.cox.com/aboutus/policies/business-annual-privacy-notice.html,1-866-272-5777,https://www.cox.com/business/contact-us.html,2026-08-01 01:03:15
F0001834696HGESm8RRiUpXakw,Cox Communications,Go Even Faster Internet,Go Even Faster Internet,Fixed,94,No,,,,,,0,Self-Installation; Professional Installation; Deposit for Pano Wifi Gateway; Late Fee,0; 100; 50.00 per device based on credit; 8.55,Panoramic Wifi,15,Varies,https://www.cox.com/residential/special-offers/bundles.html,588,57,13,1280,10,50 GB,https://www.cox.com/aboutus/policies/speeds-and-data-plans.html,https://www.cox.com/aboutus/policies/internet-service-disclosures.html,https://www.cox.com/aboutus/policies/annual-privacy-notice.html,1-800-234-3993,https://www.cox.com/residential/contactus.html,2026-08-01 01:03:15
F0001834696FM3GMhRRLUhXN2K,Cox Communications,Go Fast Internet,Go Fast Internet,Fixed,50,No,,,,,,0,Self-Installation; Professional Installation; Deposit for Pano Wifi Gateway; Late Fee,0; 0; 50.00 per device based on credit; 6,Panoramic Wifi,0,Varies,https://www.cox.com/residential/special-offers/bundles.html,109-125,19-22,17-34,1280,0,,https://www.cox.com/aboutus/policies/speeds-and-data-plans.html,https://www.cox.com/aboutus/policies/internet-service-disclosures.html,https://www.cox.com/aboutus/policies/annual-privacy-notice.html,1-800-234-3993,https://www.cox.com/residential/contactus.html,2026-08-01 01:03:15
M0001834696Wd57WARRzhU3VoM,Cox Communications,PAY AS YOU GIG,PAY AS YOU GIG,Wireless,15,No,,,,,,0,Activation Fee; Late Fee,10;6.5,Telecom Relay Fund; Federal Universal Service Fund; E911; State Special Fee; State Universal Service Fund; DEAF Surcharge; 988 Fee; State PUC Fee; State Universal Service Fund,0.12; 0.54; 0.41; 0.15; 1.11; 0.17; 0.08; 0.17; 1.11,Varies,https://www.cox.com/residential/special-offers/bundles.html,5G & 4G LTE Range 11-634,5G & 4G LTE Range 1-53,56,1,15,1 GB,https://www.cox.com/aboutus/policies/speeds-and-data-plans.html,https://www.cox.com/aboutus/policies/cox-mobile-internet-service-disclosures.html,https://www.cox.com/aboutus/policies/annual-privacy-notice.html,1-800-234-3993,https://www.cox.com/residential/contactus.html,2026-08-01 01:03:15
F0001834696HeyBUKRR4EbXSi5,Cox Communications,Go Faster Internet,Go Faster Internet,Fixed,74,No,,,,,,0,Self-Installation; Professional Installation; Deposit for Pano Wifi Gateway; Late Fee,0; 100; 50.00 per device based on credit; 6,Panoramic Wifi,15,Varies,https://www.cox.com/residential/special-offers/bundles.html,294,11,14,1280,10,50 GB,https://www.cox.com/aboutus/policies/speeds-and-data-plans.html,https://www.cox.com/aboutus/policies/internet-service-disclosures.html,https://www.cox.com/aboutus/policies/annual-privacy-notice.html,1-800-234-3993,https://www.cox.com/residential/contactus.html,2026-08-01 01:03:15
F0001834696HUsTf6RR8zCXfc6,Cox Communications,ConnectAssist Internet Service,ConnectAssist Internet Service,Fixed,30,No,,,,,,0,Self-Installation; Professional Installation; Deposit for Pano Wifi Gateway; Late Fee,0; 100; 50.00 per device based on credit; 0,Panoramic Wifi,15,Varies,https://www.cox.com/residential/special-offers/bundles.html,117,12,15,1280,0,,https://www.cox.com/aboutus/policies/speeds-and-data-plans.html,https://www.cox.com/aboutus/policies/internet-service-disclosures.html,https://www.cox.com/aboutus/policies/annual-privacy-notice.html,1-800-234-3993,https://www.cox.com/residential/contactus.html,2026-08-01 01:03:15
F0001834696HimOuQRRJy5Xni5,Cox Communications,Go Beyond Fast Internet,Go Beyond Fast Internet,Fixed,154,No,,,,,,0,Self-Installation; Professional Installation; Deposit for Pano Wifi Gateway; Late Fee,0; 100; 50.00 per device based on credit; 8,Panoramic Wifi,15,Varies,https://www.cox.com/residential/special-offers/bundles.html,2320,113,15,1280,10,50 GB,https://www.cox.com/aboutus/policies/speeds-and-data-plans.html,https://www.cox.com/aboutus/policies/internet-service-disclosures.html,https://www.cox.com/aboutus/policies/annual-privacy-notice.html,1-800-234-3993,https://www.cox.com/residential/contactus.html,2026-08-01 01:03:15
